"value","trial_type","trial_index","time_elapsed","internal_node_id","subject","browser_info","participant_number","rt","responses","view_history","presentation_start_time","id","text","response","keypresses","answer","correct","study","experimenter_rt"
"","html-voicekey-response","134","646923","0.0-4.130-0.130","1jtlba5vup147vw","{""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36"",""on_chrome"":true,""on_mobile"":false,""language"":""en-US"",""screen_resolution"":[1440,900],""platform"":""MacIntel"",""timezone"":""Europe/Berlin""}","14","100","","","1558339248122","21","","Konstanz","[]","Konstanz","true","false","2285.3500000055647"
"","html-voicekey-response","135","650006","0.0-4.131-0.131","1jtlba5vup147vw","{""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36"",""on_chrome"":true,""on_mobile"":false,""language"":""en-US"",""screen_resolution"":[1440,900],""platform"":""MacIntel"",""timezone"":""Europe/Berlin""}","14","1901.3400000056486","","","1558339251014","13","","Chemnitz","[]","Chemnitz","true","false","2476.5800000022864"
"","html-voicekey-response","136","652555","0.0-4.132-0.132","1jtlba5vup147vw","{""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36"",""on_chrome"":true,""on_mobile"":false,""language"":""en-US"",""screen_resolution"":[1440,900],""platform"":""MacIntel"",""timezone"":""Europe/Berlin""}","14","1554.115000000666","","","1558339254095","22","","Bamberg","[]","Bamberg","true","false","1945.594999997411"
"","html-voicekey-response","137","656790","0.0-4.133-0.133","1jtlba5vup147vw","{""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36"",""on_chrome"":true,""on_mobile"":false,""language"":""en-US"",""screen_resolution"":[1440,900],""platform"":""MacIntel"",""timezone"":""Europe/Berlin""}","14","2852.9400000059745","","","1558339256647","28","","Regensburg","[]","Regensburg","true","true","3627.5450000102865"
"","html-voicekey-response","138","659167","0.0-4.134-0.134","1jtlba5vup147vw","{""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36"",""on_chrome"":true,""on_mobile"":false,""language"":""en-US"",""screen_resolution"":[1440,900],""platform"":""MacIntel"",""timezone"":""Europe/Berlin""}","14","1312.7000000038884","","","1558339260881","29","","Jena","[]","Jena","true","true","1771.744999990915"
"","html-voicekey-response","139","661400","0.0-4.135-0.135","1jtlba5vup147vw","{""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36"",""on_chrome"":true,""on_mobile"":false,""language"":""en-US"",""screen_resolution"":[1440,900],""platform"":""MacIntel"",""timezone"":""Europe/Berlin""}","14","969.0899999930756","","","1558339263258","28","","Regensburg","[]","Regensburg","true","false","1627.5400000013178"
"","html-voicekey-response","140","663201","0.0-4.136-0.136","1jtlba5vup147vw","{""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36"",""on_chrome"":true,""on_mobile"":false,""language"":""en-US"",""screen_resolution"":[1440,900],""platform"":""MacIntel"",""timezone"":""Europe/Berlin""}","14","669.4999999979976","","","1558339265491","29","","Jena","[]","Jena","true","false","1195.175000000745"
"","html-voicekey-response","141","668268","0.0-4.137-0.137","1jtlba5vup147vw","{""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36"",""on_chrome"":true,""on_mobile"":false,""language"":""en-US"",""screen_resolution"":[1440,900],""platform"":""MacIntel"",""timezone"":""Europe/Berlin""}","14","3666.750000012899","","","1558339267292","25","","Osnabrück","[]","Osnabrück","true","false","4459.2500000144355"
"","html-voicekey-response","142","671075","0.0-4.138-0.138","1jtlba5vup147vw","{""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36"",""on_chrome"":true,""on_mobile"":false,""language"":""en-US"",""screen_resolution"":[1440,900],""platform"":""MacIntel"",""timezone"":""Europe/Berlin""}","14","1807.760000004992","","","1558339272360","18","","Forchheim","[]","Forchheim","true","false","2199.7800000099232"
"","html-voicekey-response","143","672958","0.0-4.139-0.139","1jtlba5vup147vw","{""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36"",""on_chrome"":true,""on_mobile"":false,""language"":""en-US"",""screen_resolution"":[1440,900],""platform"":""MacIntel"",""timezone"":""Europe/Berlin""}","14","935.7600000019651","","","1558339275165","24","","Köln","[]","Köln","true","false","1277.1800000045914"
"","html-voicekey-response","144","675374","0.0-4.140-0.140","1jtlba5vup147vw","{""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36"",""on_chrome"":true,""on_mobile"":false,""language"":""en-US"",""screen_resolution"":[1440,900],""platform"":""MacIntel"",""timezone"":""Europe/Berlin""}","14","1302.734999999148","","","1558339277049","30","","Bremen","[]","Bremen","true","true","1810.6399999960558"
"","html-voicekey-response","145","677891","0.0-4.141-0.141","1jtlba5vup147vw","{""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36"",""on_chrome"":true,""on_mobile"":false,""language"":""en-US"",""screen_resolution"":[1440,900],""platform"":""MacIntel"",""timezone"":""Europe/Berlin""}","14","1402.2849999981468","","","1558339279465","23","","Stuttgart","[]","Stuttgart","true","false","1910.9500000049593"
"","html-voicekey-response","146","680165","0.0-4.142-0.142","1jtlba5vup147vw","{""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36"",""on_chrome"":true,""on_mobile"":false,""language"":""en-US"",""screen_resolution"":[1440,900],""platform"":""MacIntel"",""timezone"":""Europe/Berlin""}","14","1176.4550000023796","","","1558339281982","30","","Bremen","[]","Bremen","true","false","1668.1149999931222"
"","html-voicekey-response","147","683182","0.0-4.143-0.143","1jtlba5vup147vw","{""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36"",""on_chrome"":true,""on_mobile"":false,""language"":""en-US"",""screen_resolution"":[1440,900],""platform"":""MacIntel"",""timezone"":""Europe/Berlin""}","14","1936.2499999932247","","","1558339284255","25","","Osnabrück","[]","Osnabrück","true","false","2411.8599999928847"
